Appointment_Month,Product,Actual_RGU,Forecasted_RGU,Adjusted_RGU
2022-04-01,NAAS,59,0,0
2022-05-01,NAAS,31,0,0
2022-06-01,NAAS,49,0,0
2022-07-01,NAAS,29,0,0
2022-08-01,NAAS,39,0,0
2022-09-01,NAAS,10,0,0
2022-10-01,NAAS,4,0,0
2022-11-01,NAAS,6,0,0
2022-12-01,NAAS,20,0,0
2023-01-01,NAAS,17,0,0
2023-02-01,NAAS,3,0,0
2023-03-01,NAAS,1,0,0
2023-04-01,NAAS,4,0,0
2023-05-01,NAAS,12,0,0
2023-06-01,NAAS,6,0,0
2023-07-01,NAAS,16,0,0
2023-08-01,NAAS,6,0,0
2023-09-01,NAAS,7,0,0
2023-10-01,NAAS,25,0,0
2023-11-01,NAAS,8,0,0
2023-12-01,NAAS,17,0,0
2024-01-01,NAAS,17,0,0
2024-02-01,NAAS,28,0,0
2024-03-01,NAAS,35,0,0
2024-04-01,NAAS,44,0,0
2024-05-01,NAAS,24,0,0
2024-06-01,NAAS,13,0,0
2024-07-01,NAAS,34,0,0
2024-08-01,NAAS,13,0,0
2024-09-01,NAAS,13,0,0
2024-10-01,NAAS,5,0,0
2024-11-01,NAAS,178,0,0
2024-12-01,NAAS,17,0,0
2025-01-01,NAAS,20,0,0
2025-02-01,NAAS,6,7,7
2025-03-01,NAAS,0,16,16
2025-04-01,NAAS,0,9,9
2025-05-01,NAAS,0,15,15
2025-06-01,NAAS,0,11,11
2025-07-01,NAAS,0,6,6
2025-08-01,NAAS,0,7,7
2025-09-01,NAAS,0,12,12
2025-10-01,NAAS,0,19,19
2025-11-01,NAAS,0,19,19
2025-12-01,NAAS,0,33,33
2022-01-01,POTS,0,0,0
2022-02-01,POTS,2439,0,0
2022-03-01,POTS,1716,0,0
2022-04-01,POTS,1637,0,0
2022-05-01,POTS,1925,0,0
2022-06-01,POTS,1656,0,0
2022-07-01,POTS,1578,0,0
2022-08-01,POTS,1933,0,0
2022-09-01,POTS,1612,0,0
2022-10-01,POTS,1457,0,0
2022-11-01,POTS,1586,0,0
2022-12-01,POTS,1286,0,0
2023-01-01,POTS,1491,0,0
2023-02-01,POTS,875,0,0
2023-03-01,POTS,797,0,0
2023-04-01,POTS,1457,0,0
2023-05-01,POTS,1098,0,0
2023-06-01,POTS,967,0,0
2023-07-01,POTS,607,0,0
2023-08-01,POTS,943,0,0
2023-09-01,POTS,853,0,0
2023-10-01,POTS,1064,0,0
2023-11-01,POTS,981,0,0
2023-12-01,POTS,791,0,0
2024-01-01,POTS,757,0,0
2024-02-01,POTS,485,0,0
2024-03-01,POTS,598,0,0
2024-04-01,POTS,655,0,0
2024-05-01,POTS,951,0,0
2024-06-01,POTS,455,0,0
2024-07-01,POTS,474,0,0
2024-08-01,POTS,416,0,0
2024-09-01,POTS,737,0,0
2024-10-01,POTS,396,0,0
2024-11-01,POTS,586,0,0
2024-12-01,POTS,554,0,0
2025-01-01,POTS,524,0,0
2025-02-01,POTS,390,310,310
2025-03-01,POTS,0,581,581
2025-04-01,POTS,0,400,400
2025-05-01,POTS,0,442,442
2025-06-01,POTS,0,272,272
2025-07-01,POTS,0,423,423
2025-08-01,POTS,0,448,448
2025-09-01,POTS,0,436,436
2025-10-01,POTS,0,455,455
2025-11-01,POTS,0,433,433
2025-12-01,POTS,0,405,405
2022-01-01,PRIVATE LINE,0,0,0
2022-02-01,PRIVATE LINE,2332,0,0
2022-03-01,PRIVATE LINE,1162,0,0
2022-04-01,PRIVATE LINE,838,0,0
2022-05-01,PRIVATE LINE,1070,0,0
2022-06-01,PRIVATE LINE,1396,0,0
2022-07-01,PRIVATE LINE,632,0,0
2022-08-01,PRIVATE LINE,680,0,0
2022-09-01,PRIVATE LINE,754,0,0
2022-10-01,PRIVATE LINE,692,0,0
2022-11-01,PRIVATE LINE,853,0,0
2022-12-01,PRIVATE LINE,684,0,0
2023-01-01,PRIVATE LINE,842,0,0
2023-02-01,PRIVATE LINE,805,0,0
2023-03-01,PRIVATE LINE,596,0,0
2023-04-01,PRIVATE LINE,779,0,0
2023-05-01,PRIVATE LINE,999,0,0
2023-06-01,PRIVATE LINE,709,0,0
2023-07-01,PRIVATE LINE,1074,0,0
2023-08-01,PRIVATE LINE,1146,0,0
2023-09-01,PRIVATE LINE,1412,0,0
2023-10-01,PRIVATE LINE,1299,0,0
2023-11-01,PRIVATE LINE,423,0,0
2023-12-01,PRIVATE LINE,753,0,0
2024-01-01,PRIVATE LINE,519,0,0
2024-02-01,PRIVATE LINE,785,0,0
2024-03-01,PRIVATE LINE,678,0,0
2024-04-01,PRIVATE LINE,1523,0,0
2024-05-01,PRIVATE LINE,917,0,0
2024-06-01,PRIVATE LINE,554,0,0
2024-07-01,PRIVATE LINE,452,0,0
2024-08-01,PRIVATE LINE,969,0,0
2024-09-01,PRIVATE LINE,769,0,0
2024-10-01,PRIVATE LINE,916,0,0
2024-11-01,PRIVATE LINE,1127,0,0
2024-12-01,PRIVATE LINE,621,0,0
2025-01-01,PRIVATE LINE,417,0,0
2025-02-01,PRIVATE LINE,434,411,411
2025-03-01,PRIVATE LINE,0,494,494
2025-04-01,PRIVATE LINE,0,492,492
2025-05-01,PRIVATE LINE,0,532,532
2025-06-01,PRIVATE LINE,0,523,523
2025-07-01,PRIVATE LINE,0,527,527
2025-08-01,PRIVATE LINE,0,475,475
2025-09-01,PRIVATE LINE,0,561,561
2025-10-01,PRIVATE LINE,0,531,531
2025-11-01,PRIVATE LINE,0,519,519
2025-12-01,PRIVATE LINE,0,524,524
2022-01-01,SDS WIFI,0,0,0
2022-02-01,SDS WIFI,56,0,0
2022-03-01,SDS WIFI,157,0,0
2022-04-01,SDS WIFI,61,0,0
2022-05-01,SDS WIFI,135,0,0
2022-06-01,SDS WIFI,122,0,0
2022-07-01,SDS WIFI,204,0,0
2022-08-01,SDS WIFI,231,0,0
2022-09-01,SDS WIFI,369,0,0
2022-10-01,SDS WIFI,395,0,0
2022-11-01,SDS WIFI,581,0,0
2022-12-01,SDS WIFI,392,0,0
2023-01-01,SDS WIFI,356,0,0
2023-02-01,SDS WIFI,309,0,0
2023-03-01,SDS WIFI,322,0,0
2023-04-01,SDS WIFI,538,0,0
2023-05-01,SDS WIFI,441,0,0
2023-06-01,SDS WIFI,649,0,0
2023-07-01,SDS WIFI,921,0,0
2023-08-01,SDS WIFI,743,0,0
2023-09-01,SDS WIFI,866,0,0
2023-10-01,SDS WIFI,1097,0,0
2023-11-01,SDS WIFI,1021,0,0
2023-12-01,SDS WIFI,1554,0,0
2024-01-01,SDS WIFI,1721,0,0
2024-02-01,SDS WIFI,1064,0,0
2024-03-01,SDS WIFI,966,0,0
2024-04-01,SDS WIFI,1003,0,0
2024-05-01,SDS WIFI,1102,0,0
2024-06-01,SDS WIFI,1242,0,0
2024-07-01,SDS WIFI,1351,0,0
2024-08-01,SDS WIFI,1425,0,0
2024-09-01,SDS WIFI,1583,0,0
2024-10-01,SDS WIFI,1719,0,0
2024-11-01,SDS WIFI,1856,0,0
2024-12-01,SDS WIFI,1858,0,0
2025-01-01,SDS WIFI,1665,0,0
2025-02-01,SDS WIFI,1488,1227,1227
2025-03-01,SDS WIFI,0,1540,1540
2025-04-01,SDS WIFI,0,1338,1338
2025-05-01,SDS WIFI,0,1621,1621
2025-06-01,SDS WIFI,0,1670,1670
2025-07-01,SDS WIFI,0,1511,1511
2025-08-01,SDS WIFI,0,1630,1630
2025-09-01,SDS WIFI,0,1701,1701
2025-10-01,SDS WIFI,0,1741,1741
2025-11-01,SDS WIFI,0,1929,1929
2025-12-01,SDS WIFI,0,1938,1938
2022-01-01,SECURITY,0,0,0
2022-02-01,SECURITY,591,0,0
2022-03-01,SECURITY,740,0,0
2022-04-01,SECURITY,834,0,0
2022-05-01,SECURITY,698,0,0
2022-06-01,SECURITY,760,0,0
2022-07-01,SECURITY,760,0,0
2022-08-01,SECURITY,647,0,0
2022-09-01,SECURITY,737,0,0
2022-10-01,SECURITY,740,0,0
2022-11-01,SECURITY,691,0,0
2022-12-01,SECURITY,689,0,0
2023-01-01,SECURITY,647,0,0
2023-02-01,SECURITY,641,0,0
2023-03-01,SECURITY,455,0,0
2023-04-01,SECURITY,939,0,0
2023-05-01,SECURITY,323,0,0
2023-06-01,SECURITY,495,0,0
2023-07-01,SECURITY,490,0,0
2023-08-01,SECURITY,560,0,0
2023-09-01,SECURITY,507,0,0
2023-10-01,SECURITY,501,0,0
2023-11-01,SECURITY,392,0,0
